feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,label
0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0
0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0
0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,0
0.4,0.5,0.6,0.7,0.8,0.9,1.0,0.1,0
0.5,0.6,0.7,0.8,0.9,1.0,0.1,0.2,0
0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,1
0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,1
0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.0,1
0.6,0.5,0.4,0.3,0.2,0.1,0.0,0.9,1
0.5,0.4,0.3,0.2,0.1,0.0,0.9,0.8,1
0.2,0.1,0.0,0.9,0.8,0.7,0.6,0.5,2
0.1,0.0,0.9,0.8,0.7,0.6,0.5,0.4,2
0.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,2
0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,2
0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,2 